onset	duration	sample	trial_type	response_time	stim_file	value
23.4460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
24.4460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
25.4460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
26.4460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
27.4460000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
28.4480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
29.4480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
30.4480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
31.4480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
32.4480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
33.4480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
34.4480000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
35.4500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
36.4500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
37.4500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
38.4500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
39.4500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
40.4500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
41.4500000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
42.4520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
43.4520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
44.4520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
45.4520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
46.4520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
47.4520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
48.4520000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
49.4540000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
58.6180000000	n/a	n/a	STATUS	n/a	n/a	S  6
58.6780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
59.6780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
60.6780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
61.6800000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
62.6800000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
63.6800000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
64.6800000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
65.6800000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
66.6800000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
67.6800000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
68.6820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
69.6820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
70.6820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
71.6820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
72.6820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
73.6820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
74.6820000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
75.6840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
76.6840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
77.6840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
78.6840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
79.6840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
80.6840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
81.6840000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
82.6860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
83.6860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
84.6860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
85.6860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
86.6860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
87.6860000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
88.6880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
89.6880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
90.6880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
91.6880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
92.6880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
93.6880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
94.6880000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
95.6900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
96.6900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
97.6900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
98.6900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
99.6900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
100.6900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
101.6900000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
102.6920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
103.6920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
104.6920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
105.6920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
106.6920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
107.6920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
108.6920000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
109.6940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
110.6940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
111.6940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
112.6940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
113.6940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
114.6940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
115.6940000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
116.6960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
117.6960000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
194.6000000000	n/a	n/a	Standard Tone	n/a	n/a	S201
196.7520000000	n/a	n/a	Standard Tone	n/a	n/a	S201
198.7180000000	n/a	n/a	Novel Tone	n/a	n/a	S202
200.8220000000	n/a	n/a	Standard Tone	n/a	n/a	S201
203.0780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
205.0220000000	n/a	n/a	Novel Tone	n/a	n/a	S202
206.9520000000	n/a	n/a	Standard Tone	n/a	n/a	S201
209.0900000000	n/a	n/a	Standard Tone	n/a	n/a	S201
211.3040000000	n/a	n/a	Target Tone	n/a	n/a	S200
213.1280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
215.1300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
217.2760000000	n/a	n/a	Novel Tone	n/a	n/a	S202
219.1960000000	n/a	n/a	Standard Tone	n/a	n/a	S201
